full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,79010,79010,6464,136,136,10,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,82059,82059,10618,877,877,161,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,30023,30023,5087,352,352,32,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29840,29840,2291,38,38,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23061,23061,2203,17,17,2,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,28708,28708,1916,50,50,7,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6327,6327,1557,6,6,0,https://github.com/anthropics/claude-code-action
shanraisshan/claude-code-best-practice,17978,17978,1571,107,107,10,https://github.com/shanraisshan/claude-code-best-practice
VoltAgent/awesome-claude-code-subagents,14111,14111,1568,35,35,4,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9263,9263,1196,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7937,7937,569,8,8,0,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6002,6002,835,13,13,1,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5538,5538,476,1,1,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3714,3714,547,1,1,0,https://github.com/OneRedOak/claude-code-workflows
ykdojo/claude-code-tips,5081,5081,361,25,25,2,https://github.com/ykdojo/claude-code-tips
1rgs/claude-code-proxy,3250,3250,426,6,6,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3320,3320,578,4,4,1,https://github.com/disler/claude-code-hooks-mastery
pedrohcgs/claude-code-my-workflow,660,660,1173,1,1,8,https://github.com/pedrohcgs/claude-code-my-workflow
zebbern/claude-code-guide,3642,3642,337,4,4,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,198,-1,-1,1,https://github.com/kodu-ai/claude-coder
anthropics/skills,95650,95650,10285,315,315,38,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2205,2205,366,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6984,6984,338,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
qwibitai/nanoclaw,23740,23740,6322,93,93,69,https://github.com/qwibitai/nanoclaw
fuergaosi233/claude-code-proxy,2170,2170,312,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2494,2494,261,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3828,3828,318,3,3,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2117,2117,273,5,5,2,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,610,610,590,0,0,0,https://github.com/anthropics/claude-code-base-action
edmund-io/edmunds-claude-code,1332,1332,274,1,1,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,454,454,614,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3540,3540,247,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
router-for-me/CLIProxyAPI,17335,17335,2791,134,134,14,https://github.com/router-for-me/CLIProxyAPI
ding113/claude-code-hub,1897,1897,228,4,4,1,https://github.com/ding113/claude-code-hub
wshobson/agents,31482,31482,3443,26,26,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25957,25957,2451,2,2,0,https://github.com/eyaltoledano/claude-task-master
FlorianBruniaux/claude-code-ultimate-guide,1754,1754,282,78,78,11,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
snarktank/ralph,13084,13084,1379,26,26,0,https://github.com/snarktank/ralph
siteboon/claudecodeui,8546,8546,1096,14,14,-1,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,10503,10503,842,13,13,3,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1307,1307,194,1,1,1,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,964,964,221,1,1,0,https://github.com/sugyan/claude-code-webui
obra/superpowers,90614,90614,7174,1028,1028,86,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1634,1634,245,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
zhukunpenglinyutong/idea-claude-code-gui,1927,1927,217,53,53,3,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
lst97/claude-code-sub-agents,1473,1473,235,-1,-1,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,863,863,422,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
centminmod/my-claude-code-setup,2063,2063,205,3,3,0,https://github.com/centminmod/my-claude-code-setup
sickn33/antigravity-awesome-skills,25132,25132,4308,104,104,17,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,597,597,53,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
bfly123/claude_code_bridge,1635,1635,148,5,5,0,https://github.com/bfly123/claude_code_bridge
